fuel-type,num-of-doors,body-style,drive-wheels,engine-size,horsepower,price,avg-mpg
gas,two,convertible,rwd,130,111.0,13495.0,34.5
gas,two,convertible,rwd,130,111.0,16500.0,34.5
gas,two,hatchback,rwd,152,154.0,16500.0,32.0
gas,four,sedan,fwd,109,102.0,13950.0,39.0
gas,four,sedan,4wd,136,115.0,17450.0,29.0
gas,two,sedan,fwd,136,110.0,15250.0,31.5
gas,four,sedan,fwd,136,110.0,17710.0,31.5
gas,four,wagon,fwd,136,110.0,18920.0,31.5
gas,four,sedan,fwd,131,140.0,23875.0,27.0
gas,two,sedan,rwd,108,101.0,16430.0,37.5
gas,four,sedan,rwd,108,101.0,16925.0,37.5
gas,two,sedan,rwd,164,121.0,20970.0,35.0
gas,four,sedan,rwd,164,121.0,21105.0,35.0
gas,four,sedan,rwd,164,121.0,24565.0,32.5
gas,four,sedan,rwd,209,182.0,30760.0,27.0
gas,two,sedan,rwd,209,182.0,41315.0,27.0
gas,four,sedan,rwd,209,182.0,36880.0,25.0
gas,two,hatchback,fwd,61,48.0,5151.0,73.5
gas,two,hatchback,fwd,90,70.0,6295.0,59.5
gas,four,sedan,fwd,90,70.0,6575.0,59.5
gas,two,hatchback,fwd,90,68.0,5572.0,57.5
gas,two,hatchback,fwd,90,68.0,6377.0,50.0
gas,two,hatchback,fwd,98,102.0,7957.0,39.0
gas,four,hatchback,fwd,90,68.0,6229.0,50.0
gas,four,sedan,fwd,90,68.0,6692.0,50.0
gas,four,sedan,fwd,90,68.0,7609.0,50.0
gas,four,sedan,fwd,98,102.0,8558.0,39.0
gas,four,wagon,fwd,122,88.0,8921.0,39.0
gas,two,hatchback,fwd,156,145.0,12964.0,31.0
gas,two,hatchback,fwd,92,58.0,6479.0,76.0
gas,two,hatchback,fwd,92,76.0,6855.0,50.0
gas,two,hatchback,fwd,79,60.0,5399.0,59.0
gas,two,hatchback,fwd,92,76.0,6529.0,47.0
gas,two,hatchback,fwd,92,76.0,7129.0,47.0
gas,four,sedan,fwd,92,76.0,7295.0,47.0
gas,four,wagon,fwd,92,76.0,7295.0,47.0
gas,two,hatchback,fwd,110,86.0,7895.0,43.5
gas,two,hatchback,fwd,110,86.0,9095.0,43.5
gas,four,sedan,fwd,110,86.0,8845.0,43.5
gas,four,sedan,fwd,110,86.0,10295.0,43.5
gas,four,sedan,fwd,110,101.0,12945.0,38.0
gas,two,sedan,fwd,110,100.0,10345.0,40.5
gas,four,sedan,rwd,111,78.0,6785.0,38.5
gas,two,hatchback,rwd,119,90.0,11048.0,38.5
gas,four,sedan,rwd,258,176.0,32250.0,24.5
gas,four,sedan,rwd,258,176.0,35550.0,24.5
gas,two,sedan,rwd,326,262.0,36000.0,21.5
gas,two,hatchback,fwd,91,68.0,5195.0,45.5
gas,two,hatchback,fwd,91,68.0,6095.0,50.0
gas,two,hatchback,fwd,91,68.0,6795.0,50.0
gas,four,sedan,fwd,91,68.0,6695.0,50.0
gas,four,sedan,fwd,91,68.0,7395.0,50.0
gas,two,hatchback,rwd,70,101.0,10945.0,28.5
gas,two,hatchback,rwd,70,101.0,11845.0,28.5
gas,two,hatchback,rwd,70,101.0,13645.0,28.5
gas,two,hatchback,rwd,80,135.0,15645.0,27.5
gas,two,hatchback,fwd,122,84.0,8845.0,42.0
gas,four,sedan,fwd,122,84.0,8495.0,42.0
gas,two,hatchback,fwd,122,84.0,10595.0,42.0
gas,four,sedan,fwd,122,84.0,10245.0,42.0
diesel,four,sedan,fwd,122,64.0,10795.0,57.0
gas,four,hatchback,fwd,122,84.0,11245.0,42.0
gas,four,sedan,rwd,140,120.0,18280.0,32.5
diesel,four,sedan,rwd,134,72.0,18344.0,50.5
diesel,four,sedan,rwd,183,123.0,25552.0,34.5
diesel,four,wagon,rwd,183,123.0,28248.0,34.5
diesel,two,hardtop,rwd,183,123.0,28176.0,34.5
diesel,four,sedan,rwd,183,123.0,31600.0,34.5
gas,four,sedan,rwd,234,155.0,34184.0,25.0
gas,two,convertible,rwd,234,155.0,35056.0,25.0
gas,four,sedan,rwd,308,184.0,40960.0,22.0
gas,two,hardtop,rwd,304,184.0,45400.0,22.0
gas,two,hatchback,rwd,140,175.0,16503.0,31.0
gas,two,hatchback,fwd,92,68.0,5389.0,57.5
gas,two,hatchback,fwd,92,68.0,6189.0,50.0
gas,two,hatchback,fwd,92,68.0,6669.0,50.0
gas,two,hatchback,fwd,98,102.0,7689.0,39.0
gas,two,hatchback,fwd,110,116.0,9959.0,38.0
gas,two,hatchback,fwd,122,88.0,8499.0,41.0
gas,two,hatchback,fwd,156,145.0,12629.0,31.0
gas,two,hatchback,fwd,156,145.0,14869.0,31.0
gas,two,hatchback,fwd,156,145.0,14489.0,31.0
gas,four,sedan,fwd,122,88.0,6989.0,41.0
gas,four,sedan,fwd,122,88.0,8189.0,41.0
gas,four,sedan,fwd,110,116.0,9279.0,38.0
gas,four,sedan,fwd,110,116.0,9279.0,38.0
gas,two,sedan,fwd,97,69.0,5499.0,49.5
diesel,two,sedan,fwd,103,55.0,7099.0,70.0
gas,two,sedan,fwd,97,69.0,6649.0,49.5
gas,four,sedan,fwd,97,69.0,6849.0,49.5
gas,four,wagon,fwd,97,69.0,7349.0,49.5
gas,two,sedan,fwd,97,69.0,7299.0,49.5
gas,two,hatchback,fwd,97,69.0,7799.0,49.5
gas,four,sedan,fwd,97,69.0,7499.0,49.5
gas,four,wagon,fwd,97,69.0,7999.0,49.5
gas,two,hardtop,fwd,97,69.0,8249.0,49.5
gas,four,hatchback,fwd,120,97.0,8949.0,44.0
gas,four,sedan,fwd,120,97.0,9549.0,44.0
gas,four,sedan,fwd,181,152.0,13499.0,28.0
gas,four,wagon,fwd,181,152.0,14399.0,28.0
gas,four,sedan,fwd,181,152.0,13499.0,31.5
gas,two,hatchback,rwd,181,160.0,17199.0,31.5
gas,two,hatchback,rwd,181,200.0,19699.0,28.5
gas,two,hatchback,rwd,181,160.0,18399.0,31.5
gas,four,sedan,rwd,120,97.0,11900.0,31.0
diesel,four,sedan,rwd,152,95.0,13200.0,44.5
gas,four,wagon,rwd,120,97.0,12440.0,31.0
diesel,four,wagon,rwd,152,95.0,13860.0,37.5
gas,four,sedan,rwd,120,95.0,15580.0,31.0
diesel,four,sedan,rwd,152,95.0,16900.0,44.5
gas,four,wagon,rwd,120,95.0,16695.0,31.0
diesel,four,wagon,rwd,152,95.0,17075.0,37.5
gas,four,sedan,rwd,120,97.0,16630.0,31.0
diesel,four,sedan,rwd,152,95.0,17950.0,44.5
gas,four,sedan,rwd,134,142.0,18150.0,30.0
gas,two,hatchback,fwd,90,68.0,5572.0,57.5
gas,two,hatchback,fwd,98,102.0,7957.0,39.0
gas,four,hatchback,fwd,90,68.0,6229.0,50.0
gas,four,sedan,fwd,90,68.0,6692.0,50.0
gas,four,sedan,fwd,98,68.0,7609.0,50.0
gas,four,wagon,fwd,122,88.0,8921.0,39.0
gas,two,hatchback,rwd,156,145.0,12764.0,31.0
gas,two,hatchback,rwd,151,143.0,22018.0,32.5
gas,two,hardtop,rwd,194,207.0,32528.0,29.5
gas,two,hardtop,rwd,194,207.0,34028.0,29.5
gas,two,convertible,rwd,194,207.0,37028.0,29.5
gas,four,wagon,fwd,132,95.0,9295.0,38.5
gas,two,hatchback,fwd,132,95.0,9895.0,38.5
gas,two,hatchback,fwd,121,110.0,11850.0,35.0
gas,four,sedan,fwd,121,110.0,12170.0,35.0
gas,two,hatchback,fwd,121,110.0,15040.0,35.0
gas,four,sedan,fwd,121,110.0,15510.0,35.0
gas,two,hatchback,fwd,121,160.0,18150.0,32.0
gas,four,sedan,fwd,121,160.0,18620.0,32.0
gas,two,hatchback,fwd,97,69.0,5118.0,49.0
gas,two,hatchback,fwd,108,73.0,7053.0,41.5
gas,two,hatchback,4wd,108,73.0,7603.0,41.5
gas,four,sedan,fwd,108,82.0,7126.0,50.5
gas,four,sedan,fwd,108,82.0,7775.0,44.5
gas,four,sedan,fwd,108,94.0,9960.0,42.0
gas,four,sedan,4wd,108,82.0,9233.0,36.5
gas,four,sedan,4wd,108,111.0,11259.0,38.5
gas,four,wagon,fwd,108,82.0,7463.0,44.0
gas,four,wagon,fwd,108,94.0,10198.0,40.5
gas,four,wagon,4wd,108,82.0,8013.0,37.5
gas,four,wagon,4wd,108,111.0,11694.0,34.5
gas,two,hatchback,fwd,92,62.0,5348.0,54.5
gas,two,hatchback,fwd,92,62.0,6338.0,50.0
gas,four,hatchback,fwd,92,62.0,6488.0,50.0
gas,four,wagon,fwd,92,62.0,6918.0,49.5
gas,four,wagon,4wd,92,62.0,7898.0,43.0
gas,four,wagon,4wd,92,62.0,8778.0,43.0
gas,four,sedan,fwd,98,70.0,6938.0,48.5
gas,four,hatchback,fwd,98,70.0,7198.0,48.5
diesel,four,sedan,fwd,110,56.0,7898.0,52.0
diesel,four,hatchback,fwd,110,56.0,7788.0,61.5
gas,four,sedan,fwd,98,70.0,7738.0,61.5
gas,four,hatchback,fwd,98,70.0,8358.0,45.0
gas,four,sedan,fwd,98,70.0,9258.0,45.0
gas,two,sedan,rwd,98,70.0,8058.0,46.0
gas,two,hatchback,rwd,98,70.0,8238.0,46.0
gas,two,sedan,rwd,98,112.0,9298.0,40.5
gas,two,hatchback,rwd,98,112.0,9538.0,40.5
gas,two,hardtop,rwd,146,116.0,8449.0,39.0
gas,two,hardtop,rwd,146,116.0,9639.0,39.0
gas,two,hatchback,rwd,146,116.0,9989.0,39.0
gas,two,hardtop,rwd,146,116.0,11199.0,39.0
gas,two,hatchback,rwd,146,116.0,11549.0,39.0
gas,two,convertible,rwd,146,116.0,17669.0,39.0
gas,four,sedan,fwd,122,92.0,8948.0,46.0
diesel,four,sedan,fwd,110,73.0,10698.0,46.5
gas,four,hatchback,fwd,122,92.0,9988.0,43.0
gas,four,sedan,fwd,122,92.0,10898.0,43.0
gas,four,hatchback,fwd,122,92.0,11248.0,43.0
gas,two,hatchback,rwd,171,161.0,16558.0,32.0
gas,two,hatchback,rwd,171,161.0,15998.0,31.0
gas,four,sedan,rwd,171,156.0,15690.0,32.0
gas,four,wagon,rwd,161,156.0,15750.0,31.0
diesel,two,sedan,fwd,97,52.0,7775.0,60.0
gas,two,sedan,fwd,109,85.0,7975.0,44.0
diesel,four,sedan,fwd,97,52.0,7995.0,60.0
gas,four,sedan,fwd,109,85.0,8195.0,44.0
gas,four,sedan,fwd,109,85.0,8495.0,44.0
diesel,four,sedan,fwd,97,68.0,9495.0,58.0
gas,four,sedan,fwd,109,100.0,9995.0,42.0
gas,two,convertible,fwd,109,90.0,11595.0,38.5
gas,two,hatchback,fwd,109,90.0,9980.0,38.5
gas,four,sedan,fwd,136,110.0,13295.0,31.0
diesel,four,sedan,fwd,97,68.0,13845.0,52.0
gas,four,wagon,fwd,109,88.0,12290.0,40.5
gas,four,sedan,rwd,141,114.0,12940.0,37.0
gas,four,wagon,rwd,141,114.0,13415.0,37.0
gas,four,sedan,rwd,141,114.0,15985.0,38.0
gas,four,wagon,rwd,141,114.0,16515.0,38.0
gas,four,sedan,rwd,130,162.0,18420.0,28.0
gas,four,wagon,rwd,130,162.0,18950.0,28.0
gas,four,sedan,rwd,141,114.0,16845.0,37.0
gas,four,sedan,rwd,141,160.0,19045.0,31.5
gas,four,sedan,rwd,173,134.0,21485.0,29.5
diesel,four,sedan,rwd,145,106.0,22470.0,39.5
gas,four,sedan,rwd,141,114.0,22625.0,31.5
